"(No Title)"
	"2025-12-"	"1 23:58:18"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"BearingHousing2_AccYref"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".Test_rig_LUT.Last_Run.BearingHousing2_AccYref.TIME"	".Test_rig_LUT.Last_Run.BearingHousing2_AccYref.Q"
0.000000e+00	0.000000e+00
0.000000e+00	-1.140368e+01
1.000000e-04	-1.667915e+00
2.000000e-04	4.708345e+00
3.000000e-04	2.957211e-01
4.000000e-04	-2.878437e+00
5.000000e-04	7.492626e-02
6.000000e-04	2.644062e+00
7.000000e-04	1.416485e+00
8.000000e-04	5.409467e-02
9.000000e-04	7.732674e-01
1.000000e-03	1.959468e+00
1.100000e-03	7.001474e-01
1.200000e-03	5.292716e-01
1.300000e-03	2.196989e-01
1.400000e-03	3.293038e-01
1.500000e-03	5.120963e-01
1.600000e-03	-5.412153e-01
1.700000e-03	3.585683e-03
1.800000e-03	-2.412779e-01
1.900000e-03	-3.603167e-01
2.000000e-03	-3.560596e-01
2.100000e-03	-2.332917e-01
2.200000e-03	-2.220611e-01
2.300000e-03	-1.441811e-01
2.400000e-03	-9.837767e-02
2.500000e-03	-7.434729e-03
2.600000e-03	3.280310e-02
2.700000e-03	1.529856e-02
2.800000e-03	-5.519274e-02
2.900000e-03	-5.439114e-02
3.000000e-03	-8.868628e-02
3.100000e-03	6.085628e-02
3.200000e-03	-5.224573e-02
3.300000e-03	2.475726e-02
3.400000e-03	2.469439e-02
3.500000e-03	-5.700437e-03
3.600000e-03	4.249341e-03
3.700000e-03	5.846284e-02
3.800000e-03	1.351799e-01
3.900000e-03	1.709565e-01
4.000000e-03	1.870575e-01
4.100000e-03	2.008936e-01
4.200000e-03	2.424880e-01
4.300000e-03	2.054676e-01
4.400000e-03	1.761259e-01
4.500000e-03	1.310180e-01
4.600000e-03	6.010920e-02
4.700000e-03	5.612313e-02
4.800000e-03	9.451128e-03
4.900000e-03	-1.204801e-01
5.000000e-03	-1.984716e-01
5.100000e-03	-2.253746e-01
5.200000e-03	-2.052390e-01
5.300000e-03	-1.740006e-01
5.400000e-03	-1.624535e-01
5.500000e-03	-2.283623e-01
5.600000e-03	-1.925001e-01
5.700000e-03	-1.646542e-01
5.800000e-03	-1.311174e-01
5.900000e-03	-6.089921e-02
6.000000e-03	-2.536915e-02
6.100000e-03	9.554750e-02
6.200000e-03	7.499256e-02
6.300000e-03	4.132754e-02
6.400000e-03	1.059422e-01
6.500000e-03	6.842739e-02
6.600000e-03	8.249931e-02
6.700000e-03	8.154552e-03
6.800000e-03	-1.205114e-02
6.900000e-03	-3.929698e-02
7.000000e-03	-7.617948e-02
7.100000e-03	-1.543593e-01
7.200000e-03	-2.219551e-01
